Gender,Age,Married,Number_of_Dependents,City,avg_age,avg_monthly_charge,avg_total_charge
Female,72,No,0,Ojai,72.0000,91.55,3673.6
Male,51,No,0,"Desert Hot Springs",51.0000,104.5,4036.85
Female,78,No,1,"North Hollywood",78.0000,95,1120.3
Female,30,Yes,0,Inverness,30.0000,50.35,314.55
Male,58,No,0,"Santa Rosa",58.0000,64.5,1888.45
Male,26,No,0,"San Jose",26.0000,29.974999999999998,960.3249999999999
Male,66,Yes,0,Wilmington,66.0000,104.8,7308.95
Female,20,Yes,0,Modesto,20.0000,109.4,6252.7
Male,61,Yes,0,"San Diego",61.0000,77.73333333333333,3450.0166666666664
Male,24,No,0,"Rancho Palos Verdes",24.0000,71.4,1212.1
Female,55,Yes,0,Kenwood,55.0000,116,8182.85
Male,32,No,0,"West Point",32.0000,19.85,19.85
Male,59,No,0,"Los Angeles",59.0000,72.45,269.075
Male,71,Yes,1,"Morongo Valley",71.0000,93.95,2861.45
Male,49,Yes,2,"Palo Verde",49.0000,90.8,1442.2
Male,61,Yes,0,Valyermo,61.0000,84.35,4059.35
Female,40,Yes,0,Cambria,40.0000,58.25,4145.9
Female,39,No,0,"Round Mountain",39.0000,107.55,3645.5
Female,21,Yes,0,Klamath,21.0000,19.95,187.75
Male,24,Yes,0,Fresno,24.0000,111.2,2317.1
Male,52,Yes,1,Angwin,52.0000,40.2,1448.8
Female,71,No,0,"Le Grand",71.0000,85.8,2193.65
Male,45,No,0,Redway,45.0000,35.4,1748.9
Female,29,No,0,"San Diego",29.0000,82.06666666666666,2705.0666666666666
Female,62,Yes,0,"Monterey Park",62.0000,88.1,5526.75
Male,42,No,0,"Big Oak Flat",42.0000,101.35,1553.95
Female,51,No,2,"Stevenson Ranch",51.0000,45.8,1147
Male,39,Yes,0,"North Highlands",39.0000,94.65,6747.35
Male,64,Yes,0,"La Puente",64.0000,20.5,865.05
Male,55,No,0,Glenhaven,55.0000,89.4,5976.9
Female,40,No,0,Alhambra,40.0000,86.25,181.65
Female,76,No,0,"Santa Monica",76.0000,74.85,3268.05
Female,57,No,0,Lodi,57.0000,89.75,1052.4
Male,71,Yes,0,"Los Angeles",71.0000,95.95,5543.366666666666
Female,25,No,0,Fairfield,25.0000,80.2,80.2
Female,24,No,0,Stockton,24.0000,19.85,63.75
Female,19,Yes,0,Temecula,19.0000,90.35,190.5
Female,77,No,0,Fallbrook,77.0000,86.45,2401.05
Male,57,No,0,Randsburg,57.0000,20.3,511.25
Female,73,Yes,0,Atascadero,73.0000,101.25,3949.15
Male,41,No,0,Planada,41.0000,94.7,2362.1
Female,43,No,0,Moorpark,43.0000,70.9,70.9
Male,48,Yes,0,Solvang,48.0000,54.2,1152.7
Female,56,No,0,Calistoga,56.0000,114.9,8496.7
Female,51,No,0,"La Mirada",51.0000,19.55,470.2
Female,34,Yes,0,Boron,34.0000,86.85,1564.4
Male,21,Yes,2,"San Marcos",21.0000,25.35,1847.55
Male,78,Yes,0,"Desert Center",78.0000,109.9,3694.7
Female,60,No,0,"Crows Landing",60.0000,19.95,58
Male,54,Yes,1,Tuolumne,54.0000,87.2,4017.45
Male,42,Yes,3,"San Diego",42.0000,108.15,6825.65
Male,22,No,0,Auburn,22.0000,116.3,8309.55
Male,71,Yes,0,Fresno,71.0000,77.7,945.75
Female,56,Yes,2,"Del Rey",56.0000,74.4,1972.35
Male,33,No,0,"Redwood City",33.0000,20.05,33.7
Female,32,No,3,Landers,32.0000,35.05,844.45
Male,80,No,0,Hawthorne,80.0000,74.75,2111.3
Female,73,Yes,0,Oceano,73.0000,105.5,6205.5
Male,26,Yes,0,Armona,26.0000,85.25,855.3
Female,59,No,0,Clarksburg,59.0000,75.2,633.85
Female,78,Yes,0,Irvine,78.0000,84.35,474.9
Female,47,Yes,1,"Scotts Valley",47.0000,84.45,5848.6
Female,68,No,0,Salida,68.0000,102.4,6471.85
Female,30,No,0,Mckinleyville,30.0000,67.55,4073.5750000000003
Male,62,No,0,Atherton,62.0000,25.3,676.35
Female,52,Yes,2,"Huntington Beach",52.0000,19.25,864.2
Female,63,Yes,0,Calimesa,63.0000,114.65,6049.5
Female,54,No,0,"Daly City",54.0000,105.1,1582.75
Female,48,Yes,1,Middletown,48.0000,19.4,198.1
Female,51,No,0,Berkeley,51.0000,50.35,1098.85
Female,22,Yes,0,"Lost Hills",22.0000,57.8,4039.3
Male,52,No,0,"Garden Grove",52.0000,84.3,2438.6
Male,22,Yes,1,Indio,22.0000,100.55,7113.75
Male,33,Yes,0,Oxnard,33.0000,19.8,576.65
Male,26,Yes,0,"San Diego",26.0000,84.8,371.9
Male,58,No,0,Escondido,58.0000,85.85,167.3
Male,22,No,1,"Moreno Valley",22.0000,19.95,219.5
Male,66,No,0,Chino,66.0000,75.35,273.4
Male,69,No,0,Sacramento,69.0000,48.8,2555.05
Male,25,No,0,"San Diego",25.0000,33.625,121.625
Male,30,Yes,3,Turlock,30.0000,20.15,165.5
Female,73,No,0,Calexico,73.0000,44.3,89.3
Male,46,No,0,Groveland,46.0000,84.3,235.05
Male,40,No,0,"Los Gatos",40.0000,59.55,1144.6
Male,53,No,0,Clovis,53.0000,69.65,4908.25
Male,76,Yes,0,Hyampom,76.0000,36.1,2298.9
Male,38,Yes,0,"Woodland Hills",38.0000,56.6,3789.2
Male,23,No,0,Temecula,23.0000,75.9,75.9
Female,24,No,0,Livingston,24.0000,79.2,4765
Female,43,Yes,3,Tulare,43.0000,45,2196.3
Female,45,No,0,Buellton,45.0000,85.55,85.55
Male,49,No,0,Palmdale,49.0000,93.35,1444.65
Female,62,Yes,0,"Midway City",62.0000,109.65,5405.8
Male,25,Yes,1,Folsom,25.0000,89.7,6339.3
Female,37,No,0,Oakland,37.0000,84.25,3847.6
Female,35,Yes,1,"San Anselmo",35.0000,92.65,6733
Male,37,Yes,3,Duarte,37.0000,19.7,19.7
Female,19,No,0,"Lake Elsinore",19.0000,50.1,50.1
Female,69,No,0,"San Clemente",69.0000,92.45,6140.85
Female,44,Yes,1,"Los Angeles",44.0000,79.65,3870.3
Female,19,No,0,Downey,19.0000,109.9,7624.2
Male,64,Yes,0,"Bodega Bay",64.0000,81.4,4354.45
Female,44,Yes,3,Challenge,44.0000,50.55,3431.75
Female,58,Yes,0,Ludlow,58.0000,81.05,2227.1
Female,29,Yes,1,"Santa Clara",29.0000,62.45,2045.55
Female,80,Yes,0,Perris,80.0000,75.2,1929.35
Male,22,No,0,Fortuna,22.0000,90.4,268.45
Male,22,No,0,"San Diego",22.0000,61.5125,1111.3
Female,50,No,2,"San Dimas",50.0000,72.9,651.4
Male,53,Yes,2,Rescue,53.0000,70.5,3486.65
Female,45,Yes,2,Clio,45.0000,20.1,1389.6
Male,76,Yes,0,"San Diego",76.0000,81.975,1736.35
Female,57,Yes,3,Lotus,57.0000,100.7,1522.7
Female,45,Yes,3,"San Marcos",45.0000,105.65,6717.9
Male,43,Yes,1,Lompoc,43.0000,114.3,8058.55
Female,41,No,0,"Pilot Hill",41.0000,19.75,58.85
Male,22,Yes,3,"San Francisco",22.0000,24.35,538.5
Male,62,Yes,2,"Mission Hills",62.0000,69.85,5102.35
Male,21,Yes,2,"Los Angeles",21.0000,-3,465.7
Male,49,Yes,3,"Harbor City",49.0000,54.4,475.1
Male,33,Yes,4,"San Francisco",33.0000,50.55,3364.55
Male,30,No,0,Inglewood,30.0000,21.05,113.85
Male,38,No,1,"Los Angeles",38.0000,103.7,5036.3
Male,56,Yes,0,Pescadero,56.0000,19.95,1234.8
Female,70,Yes,1,Aromas,70.0000,29.3,355.9
Male,54,Yes,6,Badger,54.0000,54.75,1510.3
Female,57,No,0,Parlier,57.0000,60.55,1982.6
Female,40,Yes,2,"Death Valley",40.0000,86.2,4524.05
Male,56,No,0,"La Puente",56.0000,95.45,95.45
Male,38,No,0,Riverdale,38.0000,63.95,318.1
Male,61,No,0,"San Francisco",61.0000,65.35,1231.85
Male,35,Yes,2,"Berry Creek",35.0000,50.2,2554
Female,61,Yes,3,Fulton,61.0000,63.8,4684.3
Male,50,No,0,Capitola,50.0000,20.05,614.45
Female,47,Yes,0,"San Diego",47.0000,101.15,842.9
Male,35,No,0,Claremont,35.0000,65,2531.8
Male,32,No,0,Glendale,32.0000,19.25,86.05
Female,54,No,1,Gardena,54.0000,36.05,402.6
Male,61,No,0,Fallbrook,61.0000,96.1,453.4
Female,62,No,0,"San Francisco",62.0000,19.05,326.65
Male,80,No,0,"San Diego",80.0000,105.75,7382.85
Female,23,No,0,"Santa Ana",23.0000,40.4,422.6
Female,63,Yes,0,Snelling,63.0000,99.15,6010.05
Female,50,Yes,0,Darwin,50.0000,84.8,6046.1
Male,56,No,0,"San Bernardino",56.0000,19.575000000000003,103.55000000000001
Female,63,No,0,Garberville,63.0000,49.45,314.6
Female,58,No,0,"Long Beach",58.0000,88.8,2274.35
Female,29,No,0,Upland,29.0000,55.15,322.9
Male,54,No,0,"El Dorado Hills",54.0000,84.8,888.75
Male,25,Yes,0,"Santa Rosa",25.0000,80.55,80.55
Female,31,Yes,0,Malibu,31.0000,20.15,973.35
Female,25,Yes,2,"Santa Rosa",25.0000,58.7,168.6
Female,46,No,0,Riverdale,46.0000,99.5,5424.25
Male,28,Yes,0,Oxnard,28.0000,99.85,2331.3
Male,63,No,0,Palmdale,63.0000,32.9,163.4
Male,37,No,0,Covina,37.0000,48.55,48.55
Male,44,No,1,"San Lucas",44.0000,26.4,121.25
Female,74,Yes,0,Palmdale,74.0000,100.2,6851.65
Male,44,No,0,Hoopa,44.0000,94.7,740.3
Female,21,Yes,0,"Long Beach",21.0000,97.65,6982.5
Male,62,Yes,3,Samoa,62.0000,100,3835.55
Female,43,No,0,"Burnt Ranch",43.0000,70.1,70.1
Female,40,No,0,"Garden Grove",40.0000,97.9,315.3
Male,48,Yes,0,Milford,48.0000,102.5,6157.6
Female,55,Yes,0,Anderson,55.0000,69.95,330.15
Male,77,No,0,"San Diego",77.0000,81.35,233.7
Female,41,Yes,0,"San Diego",41.0000,66.05,3462.1
Male,43,No,0,"Santa Margarita",43.0000,61.2,4390.25
Male,69,Yes,0,Orange,69.0000,74.4,5360.75
Female,63,No,0,"Los Angeles",63.0000,67.26666666666667,1748.7499999999998
Male,38,No,0,"San Jose",38.0000,39.6,2424.5
Female,43,No,0,"San Diego",43.0000,89.3,577.6
Female,29,Yes,0,Ione,29.0000,108.9,4854.3
Female,46,No,0,"San Mateo",46.0000,19.9,320.45
Female,33,Yes,0,"San Diego",33.0000,61.125,3171.125
Male,60,Yes,3,"Los Angeles",60.0000,19.6,426.65
Female,70,Yes,0,"San Francisco",70.0000,98.9,2911.3
Male,54,Yes,0,"Santa Cruz",54.0000,45.9,521.9
Female,80,No,0,Winchester,80.0000,99.9,5706.3
Female,41,No,3,"El Cajon",41.0000,20.05,471.7
Female,38,No,0,"Sherman Oaks",38.0000,-8,4539.6
Female,48,No,0,Norco,48.0000,19.65,830.25
Male,46,No,0,Thornton,46.0000,84.9,3067.2
Male,22,No,0,"Lake Hughes",22.0000,108.15,3432.9
Male,28,Yes,3,Paramount,28.0000,86.85,6263.8
Male,58,Yes,0,"San Juan Capistrano",58.0000,102.55,1742.5
Male,55,Yes,0,Copperopolis,55.0000,78.2,1468.75
Female,52,No,0,Covina,52.0000,91.2,3382.3
Male,42,No,0,Colusa,42.0000,19.35,46.35
Female,56,Yes,2,Cypress,56.0000,70.4,1992.2
Male,34,No,0,Sacramento,34.0000,39.55,373
Female,63,No,0,Lancaster,63.0000,50.15,50.15
Male,59,Yes,0,Orange,59.0000,20.4,1414.45
Female,62,No,0,Gonzales,62.0000,44.6,122.7
Female,31,No,0,"Los Angeles",31.0000,39.400000000000006,39.400000000000006
Male,24,Yes,0,"San Ysidro",24.0000,93.6,3366.05
Male,21,No,0,Novato,21.0000,90.6,1943.2
Male,21,Yes,3,Gilroy,21.0000,57.95,1271.8
Female,56,Yes,0,"Oak Park",56.0000,112.1,7965.95
Female,31,Yes,0,"South San Francisco",31.0000,88.25,1460.65
Female,20,No,0,Vernalis,20.0000,85.8,272.2
Male,31,Yes,0,"San Jose",31.0000,70.4,2450.3500000000004
Male,60,Yes,0,Sunnyvale,60.0000,81.35,5398.6
Male,72,No,0,"Newport Beach",72.0000,99.85,3343.15
Male,56,No,0,"San Francisco",56.0000,20,198.7
Female,42,No,0,Stanford,42.0000,85.35,5897.4
Male,38,No,0,"Los Angeles",38.0000,56.4,1612.15
Male,64,No,0,Turlock,64.0000,66.875,733.9749999999999
Female,61,Yes,1,"Beverly Hills",61.0000,19.4,967.85
Female,28,Yes,0,Riverside,28.0000,74.4,139.4
Female,76,Yes,2,"Los Alamitos",76.0000,70.45,70.45
Female,44,Yes,0,Fresno,44.0000,105,7589.8
Male,28,Yes,3,Escondido,28.0000,25.15,1790.15
Female,34,No,0,Gardena,34.0000,19.3,44.4
Male,25,No,3,Encinitas,25.0000,55.3,1284.2
Male,58,Yes,0,Sacramento,58.0000,95.4,3474.2
Male,70,Yes,0,"South Dos Palos",70.0000,93.85,5574.75
Male,24,No,0,Orick,24.0000,20.5,1430.95
Male,22,Yes,3,"San Jose",22.0000,105.55,7542.25
Female,22,No,0,"El Monte",22.0000,101.9,3545.35
Female,36,Yes,1,Spreckels,36.0000,24.45,1709.1
Male,23,Yes,0,"Beverly Hills",23.0000,19.7,1421.9
Male,21,No,2,"La Habra",21.0000,74.4,229.55
Female,75,Yes,0,Visalia,75.0000,101.5,5373.1
Male,59,Yes,0,"San Francisco",59.0000,95.75,5742.9
Female,35,Yes,0,Whittier,35.0000,110.65,6526.65
Female,64,Yes,0,"Long Beach",64.0000,83.85,2674.15
Female,62,No,0,Stockton,62.0000,60.25,170.5
Male,20,No,0,Essex,20.0000,59.2,3175.85
Female,58,No,0,"Los Gatos",58.0000,44.4,44.4
Male,44,Yes,0,"Grass Valley",44.0000,85.3,4297.95
Male,40,No,0,"San Diego",40.0000,53.175,611.95
Female,72,No,0,Visalia,72.0000,99.75,4036
Male,43,Yes,0,"San Jose",43.0000,66.1,4428.45
Female,23,Yes,0,Fresno,23.0000,55.175,3403.2
Female,34,Yes,0,"San Diego",34.0000,98.85,4947.55
Male,74,No,0,Snelling,74.0000,49.2,447.9
Female,54,No,0,Encino,54.0000,20.9,20.9
Male,29,No,0,Bellflower,29.0000,19.5,516.3
Male,56,Yes,0,Sonora,56.0000,87,1850.65
Male,40,No,0,Highland,40.0000,49,749.25
Female,37,Yes,0,Novato,37.0000,90.1,2598.95
Male,47,No,0,Temecula,47.0000,90.7,237.65
Female,34,Yes,0,"Los Angeles",34.0000,74.175,2948.8
Female,21,No,0,"Long Beach",21.0000,85.25,5714.2
Female,78,No,0,Escondido,78.0000,74.7,1294.6
Male,47,Yes,0,Herlong,47.0000,60.15,3753.2
Female,51,No,0,Petaluma,51.0000,80.55,3263.9
Female,64,No,0,Mojave,64.0000,50.15,2139.1
Female,59,No,0,Callahan,59.0000,94.45,5042.75
Male,44,Yes,0,Bodega,44.0000,20.05,1036
Female,79,Yes,0,Denair,79.0000,115.6,6431.05
Female,28,Yes,0,Wrightwood,28.0000,45.3,2145
Male,39,No,0,Monterey,39.0000,99.65,2404.85
Male,32,No,0,"Palo Alto",32.0000,80.6,2651.1
Male,58,Yes,0,Jamestown,58.0000,85.25,5538.35
Female,61,Yes,2,Campbell,61.0000,69.55,200.2
Female,58,No,0,Alderpoint,58.0000,35.4,450.4
Male,19,Yes,0,"Garden Grove",19.0000,83.5,5435
Female,45,Yes,0,"Oak Run",45.0000,83.8,1900.25
Male,26,No,1,Madison,26.0000,25.6,1334.5
Male,23,No,0,"Van Nuys",23.0000,20.75,67.1
Male,23,No,0,Escondido,23.0000,56.75,503.25
Female,39,Yes,2,Cedarville,39.0000,20.1,1460.85
Male,62,No,0,Lomita,62.0000,98.8,2807.1
Female,70,Yes,0,Kelseyville,70.0000,104.85,6312.9
Male,34,Yes,0,Orangevale,34.0000,73,3001.2
Male,47,No,0,Pinecrest,47.0000,71.8,2238.525
Female,63,No,1,"San Clemente",63.0000,105.45,2715.3
Female,58,Yes,0,"Beale Afb",58.0000,96.8,1743.05
Female,42,Yes,3,Sacramento,42.0000,24.25,1784.5
Female,74,No,0,Greenville,74.0000,102.15,4735.35
Male,43,No,0,"Fort Bragg",43.0000,64.85,2010.95
Male,23,No,0,Petaluma,23.0000,25.25,996.45
Male,52,Yes,2,Mecca,52.0000,24.75,1715.1
Male,37,Yes,1,Torrance,37.0000,96.75,5238.9
Male,48,Yes,2,Victorville,48.0000,19.65,225.75
Female,58,No,0,Poway,58.0000,74.45,3721.9
Male,49,Yes,0,"Mount Hermon",49.0000,99.4,5943.65
Male,49,Yes,2,"Santa Barbara",49.0000,19.15,477.6
Female,41,No,0,Taylorsville,41.0000,69.5,69.5
Female,61,No,3,Korbel,61.0000,49.45,1119.35
Male,28,No,0,"Pine Valley",28.0000,73.7,1558.7
Female,39,No,0,"Santa Rosa",39.0000,79.7,79.7
Male,78,Yes,0,"Loma Mar",78.0000,-1,343.95
Male,61,Yes,0,Bangor,61.0000,74.4,1712.9
Female,72,No,0,Guinda,72.0000,88.3,2467.75
Female,41,Yes,0,Riverside,41.0000,19.8,1397.65
Female,78,No,0,"Rancho Cordova",78.0000,75.55,349.65
Male,54,Yes,1,Sultana,54.0000,20.2,917.45
Female,33,Yes,1,"Fort Irwin",33.0000,71.65,135.75
Female,32,Yes,3,"La Mesa",32.0000,20.1,1087.7
Female,41,No,0,"Canyon Dam",41.0000,71.1,71.1
Female,74,Yes,0,"Palomar Mountain",74.0000,100.5,6029
Male,57,Yes,0,"Rancho Santa Fe",57.0000,62.8,2278.75
Male,42,No,0,"San Jose",42.0000,70.45,70.45
Male,39,Yes,2,Topanga,39.0000,100.35,2799
Female,78,No,0,Capay,78.0000,20.3,459.95
Female,27,No,0,Oxnard,27.0000,92.05,5755.8
Female,39,No,0,Stanton,39.0000,20.15,390.85
Female,21,No,0,Sacramento,21.0000,54.2,308.25
Female,58,Yes,3,Stockton,58.0000,20.35,442.6
Female,56,No,0,Felton,56.0000,70.75,70.75
Male,26,No,0,Lewiston,26.0000,102.35,3626.1
Female,78,No,0,"Sun Valley",78.0000,50.5,2566.3
Female,25,Yes,0,Anza,25.0000,85,2624.25
Male,36,Yes,0,Bell,36.0000,42.1,2962
Male,70,No,0,"Forest Ranch",70.0000,75.65,1146.65
Male,36,No,2,Jamul,36.0000,114.6,7882.5
Male,37,No,2,Azusa,37.0000,65.7,4378.9
Male,68,Yes,0,Fallbrook,68.0000,74,4052.4
Female,66,Yes,0,"San Diego",66.0000,90.5,4402.65
Male,72,Yes,0,"Montgomery Creek",72.0000,71.1,4140.1
Female,34,Yes,0,Lodi,34.0000,109.55,8165.1
Female,27,Yes,0,Leggett,27.0000,20.5,563.05
Male,48,Yes,0,"Rough And Ready",48.0000,74.55,4191.45
Male,66,Yes,2,Petaluma,66.0000,79.85,1857.75
Female,59,Yes,0,Hornitos,59.0000,62.15,113.1
Male,19,No,2,Dixon,19.0000,21.05,235.8
Male,69,No,0,Flournoy,69.0000,79.6,3974.7
Male,64,No,0,Thermal,64.0000,73.35,931.55
Male,26,No,0,Lafayette,26.0000,70.1,4048.95
Female,43,Yes,0,"Beverly Hills",43.0000,54.4,957.1
Female,44,Yes,0,Pleasanton,44.0000,19.55,521.8
Female,61,Yes,3,Whitmore,61.0000,74.55,5430.65
Male,39,Yes,1,Alameda,39.0000,23.9,1626.4
Female,62,No,0,Herald,62.0000,44.6,3058.15
Male,45,No,0,Guerneville,45.0000,95.5,829.1
Female,28,Yes,2,"Imperial Beach",28.0000,95.5,1916.2
Male,51,No,0,"San Diego",51.0000,58.71666666666666,2579.35
Male,26,No,0,Benicia,26.0000,104.5,6590.8
Female,38,No,0,Biola,38.0000,61.4,438.9
Female,19,Yes,1,"Los Angeles",19.0000,43.95,2960.1
Male,34,Yes,1,"San Francisco",34.0000,25.9,135
Female,38,No,0,Anderson,38.0000,80.55,653.9
Female,32,Yes,1,Chester,32.0000,99.65,4630.2
Male,76,Yes,0,Hilmar,76.0000,97.95,5867
Male,70,Yes,0,Parlier,70.0000,95.55,2510.2
Female,19,Yes,0,"San Jose",19.0000,90.7,1374.9
Female,23,Yes,0,Seeley,23.0000,83.3,1845.9
Female,21,Yes,1,Riverside,21.0000,101.6,3930.55
Female,76,No,0,"Penn Valley",76.0000,72.75,317.75
Female,63,No,0,"San Jose",63.0000,88.95,2072.75
Female,43,No,0,Bakersfield,43.0000,20.3,743.05
Female,19,No,0,Taylorsville,19.0000,78.35,1837.9
Male,41,Yes,0,Etna,41.0000,80,3168.75
Female,48,No,0,Willows,48.0000,49.85,365.55
Male,35,Yes,3,Mather,35.0000,19.85,252
Male,21,Yes,1,Fairfax,21.0000,91.8,5960.5
Female,32,Yes,0,Hydesville,32.0000,100.15,6283.3
Female,51,Yes,0,Graton,51.0000,69.8,1540.35
Male,53,Yes,0,Shafter,53.0000,46.35,667.7
Female,21,No,0,Fallbrook,21.0000,69.75,3894.4
Male,41,No,1,Whittier,41.0000,69.85,837.5
Female,40,Yes,2,"San Simeon",40.0000,25.45,1534.05
Female,40,Yes,0,"Castro Valley",40.0000,75.95,4542.35
Male,62,No,0,Olivehurst,62.0000,19.75,1052.35
Male,33,Yes,0,Ranchita,33.0000,78.75,3600.65
Male,55,Yes,0,Dunlap,55.0000,19.8,1013.2
Male,35,Yes,0,Comptche,35.0000,89,1820.45
Female,77,No,0,Vista,77.0000,25.25,25.25
Female,38,Yes,3,Soquel,38.0000,19.2,1401.4
Male,74,Yes,0,"Shasta Lake",74.0000,25.05,25.05
Female,61,Yes,0,"North Hills",61.0000,47.85,3147.5
Male,62,No,0,"Rancho Cordova",62.0000,75.2,3678.3
Male,60,No,0,Wasco,60.0000,74.9,2068.55
Male,32,Yes,0,"Garden Grove",32.0000,111.9,8071.05
Female,47,No,0,Pasadena,47.0000,81.9,1028.9
Male,41,Yes,1,"Oak Run",41.0000,18.85,84.2
Female,62,No,0,Copperopolis,62.0000,18.7,1005.7
Female,54,Yes,0,Irvine,54.0000,81.55,5029.05
Female,41,No,0,"North Hollywood",41.0000,29.6,299.05
Male,29,Yes,0,Maywood,29.0000,19.95,1126.75
Male,28,No,0,Newhall,28.0000,45.55,402.6
Male,50,No,0,Murphys,50.0000,93.55,6069.25
Female,63,No,0,"San Clemente",63.0000,48.45,48.45
Female,77,No,0,"San Diego",77.0000,65.56666666666666,3184.2000000000003
Female,40,Yes,1,Ferndale,40.0000,20.2,558.8
Female,55,Yes,0,Arcata,55.0000,24.15,1776.45
Male,49,Yes,0,Temecula,49.0000,67.5,1544.05
Female,64,No,0,"San Anselmo",64.0000,90.05,2169.8
Male,33,Yes,0,Ceres,33.0000,70.75,2921.75
Male,30,No,0,"Elk Grove",30.0000,76.5,162.45
Male,40,Yes,0,Wilton,40.0000,84.05,1095.3
Female,39,No,0,"Douglas City",39.0000,95.6,1555.65
Female,28,No,0,"White Water",28.0000,102.95,6886.25
Male,19,Yes,1,Smartville,19.0000,21,1493.75
Male,61,No,0,Coarsegold,61.0000,82.3,214.4
Female,73,Yes,0,Azusa,73.0000,80.35,3825.85
Male,69,No,0,Merced,69.0000,70.65,293.85
Female,71,No,0,Aguanga,71.0000,73.55,1359.45
Male,45,Yes,0,Mojave,45.0000,104.4,2157.95
Female,58,Yes,2,Pescadero,58.0000,70.75,4263.45
Male,32,No,0,Alviso,32.0000,98.05,713
Male,34,No,0,"Palm Springs",34.0000,48.95,1323.7
Female,35,Yes,0,"Rancho Cucamonga",35.0000,60.6,2985.25
Male,43,Yes,3,Seaside,43.0000,78.75,3942.45
Female,38,Yes,3,"Round Mountain",38.0000,19,105.5
Male,56,Yes,0,Orleans,56.0000,56.25,1292.2
Female,76,No,0,"Nevada City",76.0000,25.8,25.8
Male,21,Yes,0,"Monte Rio",21.0000,99.4,7285.7
Male,80,Yes,0,"Morongo Valley",80.0000,85.2,2874.45
Female,45,Yes,0,Lodi,45.0000,69.55,3435.6
Female,20,Yes,0,"Santa Rosa",20.0000,28.5,629.35
Male,47,No,0,"Chino Hills",47.0000,97.65,6687.85
Female,42,No,0,Chowchilla,42.0000,20.25,20.25
Male,26,No,0,Phelan,26.0000,20.45,20.45
Male,78,Yes,0,Elk,78.0000,93.5,2970.8
Female,41,No,0,"Los Angeles",41.0000,37.45,114.65
Male,20,No,0,Bakersfield,20.0000,71.9,4479.2
Female,61,Yes,2,Placentia,61.0000,116.4,8543.25
