customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Tenure_Bin
2446-PLQVO,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,70.3,70.3,Yes,0-20
4501-EQDRN,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,No,Bank transfer (automatic),69.7,69.7,Yes,0-20
6457-GIRWB,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.35,69.35,Yes,0-20
6502-MJQAE,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.6,69.6,Yes,0-20
1122-JWTJW,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Mailed check,70.65,70.65,Yes,0-20
2135-RXIHG,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Electronic check,45.65,45.65,Yes,0-20
0887-HJGAR,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Mailed check,45.7,45.7,Yes,0-20
6982-SSHFK,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,No,Mailed check,44.4,44.4,Yes,0-20
9448-REEVD,Male,0,Yes,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,No,Credit card (automatic),44.7,44.7,Yes,0-20
9117-SHLZX,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Mailed check,45.7,45.7,Yes,0-20
3165-HDOEW,Male,0,Yes,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Mailed check,45.85,45.85,Yes,0-20
5552-ZNFSJ,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,No,Electronic check,45.3,45.3,Yes,0-20
2833-SLKDQ,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,No,Mailed check,45.05,45.05,Yes,0-20
4237-RLAQD,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Mailed check,45.85,45.85,Yes,0-20
8080-DDEMJ,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,No,Electronic check,45.1,45.1,Yes,0-20
3669-OYSJI,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,No,Credit card (automatic),46.2,46.2,Yes,0-20
1612-EOHDH,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,No,Electronic check,45.15,45.15,Yes,0-20
7054-LGEQW,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,No,Mailed check,45.95,45.95,Yes,0-20
4193-ORFCL,Female,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,No,Mailed check,45.1,45.1,Yes,0-20
9828-AOQLM,Female,0,Yes,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Electronic check,45.7,45.7,Yes,0-20
7065-YUNRY,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Mailed check,45.3,45.3,Yes,0-20
5103-MHMHY,Female,0,No,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,No,Mailed check,45.95,45.95,Yes,0-20
0415-MOSGF,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,No,Mailed check,44.4,44.4,Yes,0-20
5696-QURRL,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Mailed check,45.05,45.05,Yes,0-20
5692-FPTAH,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Mailed check,45.4,45.4,Yes,0-20
5077-DXTCG,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Electronic check,45.3,45.3,Yes,0-20
7593-XFKDI,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,No,Mailed check,46.3,46.3,Yes,0-20
7663-RGWBC,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Mailed check,44.15,44.15,Yes,0-20
6128-CZOMY,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Electronic check,45.65,45.65,Yes,0-20
7825-GKXMW,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,No,Electronic check,45.8,45.8,Yes,0-20
7359-PTSXY,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,No,Electronic check,45.75,45.75,Yes,0-20
6959-UWKHF,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Electronic check,42.9,42.9,Yes,0-20
6595-COKXZ,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Mailed check,44.45,44.45,Yes,0-20
4855-SNKMY,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Electronic check,44.1,44.1,Yes,0-20
2082-CEFLT,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Electronic check,45.6,45.6,Yes,0-20
6142-VSJQO,Female,0,Yes,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Bank transfer (automatic),44.35,44.35,Yes,0-20
1976-CFOCS,Female,1,Yes,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,No,Electronic check,46,46,Yes,0-20
4361-JEIVL,Male,0,No,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Electronic check,44.4,44.4,Yes,0-20
4847-QNOKA,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Bank transfer (automatic),44.9,44.9,Yes,0-20
1963-SVUCV,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,No,Electronic check,45.3,45.3,Yes,0-20
3085-QUOZK,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,No,Mailed check,43.95,43.95,Yes,0-20
3926-CUQZX,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Bank transfer (automatic),45.1,45.1,Yes,0-20
1024-GUALD,Female,0,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Monthly,Yes,Electronic check,24.8,24.8,Yes,0-20
6366-ZGQGL,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Monthly,No,Bank transfer (automatic),24.8,24.8,Yes,0-20
8372-JUXUI,Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,74.35,74.35,Yes,0-20
3276-HDUEG,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Mailed check,75.05,75.05,Yes,0-20
9227-LUNBG,Female,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Monthly,No,Electronic check,24.6,24.6,Yes,0-20
6513-EECDB,Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,73.55,73.55,Yes,0-20
6358-LYNGM,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,74.9,74.9,Yes,0-20
1768-ZAIFU,Female,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Monthly,Yes,Electronic check,25.2,25.2,Yes,0-20
3334-CTHOL,Female,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Monthly,Yes,Bank transfer (automatic),49.95,49.95,Yes,0-20
6960-HVYXR,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,No,Electronic check,76,76,Yes,0-20
7767-UXAGJ,Male,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Monthly,Yes,Electronic check,50.45,50.45,Yes,0-20
5240-IJOQT,Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,74.7,74.7,Yes,0-20
0661-XEYAN,Female,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Monthly,Yes,Mailed check,25.8,25.8,Yes,0-20
1157-BQCUW,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,74.95,74.95,Yes,0-20
5834-ASPWA,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,75.45,75.45,Yes,0-20
9787-XVQIU,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,75.3,75.3,Yes,0-20
7180-PISOG,Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,74.5,74.5,Yes,0-20
2672-DZUOY,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Monthly,Yes,Electronic check,25.15,25.15,Yes,0-20
2609-IAICY,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,77.15,77.15,Yes,0-20
3707-GNWHM,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Mailed check,74.25,74.25,Yes,0-20
4749-VFKVB,Female,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Monthly,Yes,Mailed check,50.1,50.1,Yes,0-20
4102-OQUPX,Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,74.4,74.4,Yes,0-20
6032-IGALN,Female,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Monthly,Yes,Mailed check,25.1,25.1,Yes,0-20
9907-SWKKF,Female,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Monthly,No,Mailed check,25.05,25.05,Yes,0-20
4988-IQIGL,Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,75.35,75.35,Yes,0-20
3746-EUBYR,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Bank transfer (automatic),74.6,74.6,Yes,0-20
0612-RTZZA,Female,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Monthly,No,Electronic check,25.25,25.25,Yes,0-20
8816-VXNZD,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,75.1,75.1,Yes,0-20
9136-ALYBR,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Monthly,Yes,Mailed check,24.45,24.45,Yes,0-20
8260-NGFNY,Female,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Monthly,No,Mailed check,25.2,25.2,Yes,0-20
1833-VGRUM,Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,74.2,74.2,Yes,0-20
1334-FJSVR,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Monthly,Yes,Electronic check,24.25,24.25,Yes,0-20
0023-HGHWL,Male,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Monthly,Yes,Electronic check,25.1,25.1,Yes,0-20
4729-XKASR,Male,0,No,Yes,1,No,No phone service,DSL,No,No,No,No,No,No,Monthly,No,Electronic check,24.75,24.75,Yes,0-20
9058-CBREO,Female,1,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Monthly,No,Mailed check,50.55,50.55,Yes,0-20
2982-IHMFT,Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Mailed check,74.45,74.45,Yes,0-20
7932-WPTDS,Female,1,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Monthly,Yes,Electronic check,24.8,24.8,Yes,0-20
8473-VUVJN,Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,73.65,73.65,Yes,0-20
3797-VTIDR,Male,0,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Monthly,Yes,Electronic check,23.45,23.45,Yes,0-20
1496-GGSUK,Female,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Monthly,Yes,Mailed check,25.7,25.7,Yes,0-20
3551-HUAZH,Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,74.4,74.4,Yes,0-20
0616-ATFGB,Male,1,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Monthly,No,Electronic check,25.05,25.05,Yes,0-20
7242-QZLXF,Male,0,No,Yes,1,No,No phone service,DSL,No,No,No,No,No,No,Monthly,Yes,Electronic check,25.3,25.3,Yes,0-20
9248-OJYKK,Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,76.45,76.45,Yes,0-20
4415-IJZTP,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,74.5,74.5,Yes,0-20
0723-DRCLG,Female,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,74.45,74.45,Yes,0-20
6894-LFHLY,Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,75.75,75.75,Yes,0-20
3091-FYHKI,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Monthly,Yes,Electronic check,35.45,35.45,Yes,0-20
1285-OKIPP,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Monthly,No,Electronic check,79.9,79.9,Yes,0-20
3583-EKAPL,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Monthly,Yes,Electronic check,55,55,Yes,0-20
9282-IZGQK,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Monthly,Yes,Electronic check,85,85,Yes,0-20
1448-PWKYE,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Monthly,No,Electronic check,80,80,Yes,0-20
8603-IJWDN,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Monthly,Yes,Electronic check,86.6,86.6,Yes,0-20
0841-NULXI,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Monthly,Yes,Electronic check,35.55,35.55,Yes,0-20
5673-FSSMF,Female,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,Yes,Monthly,Yes,Electronic check,60.15,60.15,Yes,0-20
3049-NDXFL,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Monthly,No,Mailed check,85.8,85.8,Yes,0-20
7854-FOKSF,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Monthly,No,Electronic check,35.9,35.9,Yes,0-20
1740-CSDJP,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Monthly,Yes,Bank transfer (automatic),35.25,35.25,Yes,0-20
4074-SJFFA,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Monthly,Yes,Mailed check,54.75,54.75,Yes,0-20
2004-OCQXK,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Monthly,Yes,Electronic check,81.95,81.95,Yes,0-20
0495-RVCBF,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Monthly,Yes,Electronic check,79.7,79.7,Yes,0-20
9124-LHCJQ,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Monthly,Yes,Mailed check,85.45,85.45,Yes,0-20
7594-RQHXR,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Monthly,Yes,Electronic check,79.6,79.6,Yes,0-20
6086-ESGRL,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Monthly,No,Credit card (automatic),80.15,80.15,Yes,0-20
5275-SQEIZ,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Monthly,Yes,Mailed check,80.85,80.85,Yes,0-20
8945-GRKHX,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Monthly,No,Electronic check,78.65,78.65,Yes,0-20
1069-XAIEM,Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Monthly,Yes,Electronic check,85.05,85.05,Yes,0-20
4614-NUVZD,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Monthly,Yes,Electronic check,81.1,81.1,Yes,0-20
